Time,PosX,PosY,PosZ
1567044322.996,-18050.99955622462,-7155.878582751779,18064.556202697848
1567044323.246,-18051.25824745511,-7156.398255996282,18064.10468116829
1567044323.496,-18051.51693952804,-7156.917912630786,18063.653135512817
1567044323.746,-18051.77563244255,-7157.437552654781,18063.20156573209
1567044323.996,-18052.034326197812,-7157.957176067623,18062.7499718267
1567044324.246,-18052.293020792997,-7158.476782868835,18062.298353797305
1567044324.496,-18052.55171622722,-7158.996373057802,18061.84671164451
1567044324.746,-18052.810412499686,-7159.51594663407,18061.395045368947
1567044324.996,-18053.069109609507,-7160.035503597042,18060.943354971245
1567044325.246,-18053.327807555903,-7160.555043946224,18060.491640452015
1567044325.496,-18053.586506337997,-7161.074567680986,18060.03990181192
1567044325.746,-18053.845205954924,-7161.594074800902,18059.588139051553
1567044325.996,-18054.103906405875,-7162.113565305328,18059.136352171554
1567044326.246,-18054.36260769002,-7162.633039193766,18058.684541172566
1567044326.496,-18054.621309806455,-7163.152496465726,18058.232706055176
1567044326.746,-18054.880012754416,-7163.671937120562,18057.780846820053
1567044326.996,-18055.138716533016,-7164.191361157777,18057.328963467797
1567044327.246,-18055.397421141424,-7164.71076857685,18056.877055999037
1567044327.496,-18055.656126578793,-7165.23015937725,18056.42512441441
1567044327.746,-18055.91483284429,-7165.749533558399,18055.973168714547
1567044327.996,-18056.173539937063,-7166.268891119747,18055.521188900064
1567044328.246,-18056.432247856264,-7166.788232060768,18055.069184971595
1567044328.496,-18056.69095660111,-7167.307556380936,18054.617156929766
1567044328.746,-18056.94966617066,-7167.8268640797105,18054.165104775195
1567044328.996,-18057.208376564155,-7168.346155156509,18053.713028508526
1567044329.246,-18057.467087780682,-7168.865429610847,18053.260928130374
1567044329.496,-18057.72579981949,-7169.384687442092,18052.80880364137
1567044329.746,-18057.98451267967,-7169.903928649808,18052.356655042146
1567044329.996,-18058.24322636038,-7170.423153233423,18051.904482333324
1567044330.246,-18058.50194086082,-7170.94236119237,18051.452285515526
1567044330.496,-18058.760656180108,-7171.461552526114,18051.000064589396
1567044330.746,-18059.019372317394,-7171.9807272341495,18050.54781955554
1567044330.996,-18059.278089271884,-7172.49988531589,18050.095550414604
1567044331.246,-18059.536807042692,-7173.019026770751,18049.64325716721
1567044331.496,-18059.795525629015,-7173.538151598303,18049.190939813983
1567044331.746,-18060.05424502999,-7174.057259797948,18048.738598355558
1567044331.996,-18060.312965244753,-7174.576351369156,18048.28623279254
1567044332.246,-18060.571686272495,-7175.095426311367,18047.833843125598
1567044332.496,-18060.83040811237,-7175.614484624057,18047.381429355322
1567044332.746,-18061.0891307635,-7176.1335263067085,18046.928991482346
1567044332.996,-18061.34785422509,-7176.652551358744,18046.47652950732
1567044333.246,-18061.606578496285,-7177.17155977961,18046.024043430843
1567044333.496,-18061.865303576233,-7177.690551568754,18045.571533253576
1567044333.746,-18062.124029464096,-7178.2095267257355,18045.118998976104
1567044333.996,-18062.382756159022,-7178.728485249914,18044.666440599096
1567044334.246,-18062.64148366017,-7179.247427140792,18044.21385812315
1567044334.496,-18062.90021196672,-7179.766352397826,18043.761251548916
1567044334.746,-18063.15894107781,-7180.285261020457,18043.30862087701
1567044334.996,-18063.417670992585,-7180.804153008186,18042.855966108058
1567044335.246,-18063.676401710254,-7181.323028360413,18042.403287242698
1567044335.496,-18063.935133229912,-7181.841887076589,18041.950584281556
1567044335.746,-18064.193865550755,-7182.360729156295,18041.497857225266
1567044335.996,-18064.452598671924,-7182.879554598847,18041.045106074438
1567044336.246,-18064.711332592575,-7183.39836340386,18040.5923308297
1567044336.496,-18064.9700673119,-7183.917155570638,18040.139531491703
1567044336.746,-18065.228802829,-7184.4359310986765,18039.686708061065
1567044336.996,-18065.487539143083,-7184.954689987513,18039.2338605384
1567044337.246,-18065.746276253274,-7185.473432236515,18038.78098892435
1567044337.496,-18066.005014158727,-7185.992157845212,18038.32809321955
1567044337.746,-18066.263752858646,-7186.510866813027,18037.875173424607
1567044337.996,-18066.522492352167,-7187.029559139439,18037.42222954018
1567044338.246,-18066.781232638394,-7187.548234823891,18036.96926156687
1567044338.496,-18067.03997371657,-7188.066893865849,18036.51626950531
1567044338.746,-18067.298715585763,-7188.585536264818,18036.06325335613
1567044338.996,-18067.557458245206,-7189.104162020176,18035.61021311998
1567044339.246,-18067.81620169403,-7189.622771131442,18035.157148797458
1567044339.496,-18068.074945931367,-7190.1413635980425,18034.704060389216
1567044339.746,-18068.333690956417,-7190.659939419449,18034.25094789587
1567044339.996,-18068.59243676832,-7191.1784985951745,18033.79781131805
1567044340.246,-18068.8511833662,-7191.697041124593,18033.344650656385
1567044340.496,-18069.109930749277,-7192.215567007206,18032.891465911518
1567044340.746,-18069.368678916664,-7192.734076242479,18032.438257084035
1567044340.996,-18069.627427867537,-7193.252568829888,18031.985024174617
1567044341.246,-18069.886177601038,-7193.771044768859,18031.53176718385
1567044341.496,-18070.144928116322,-7194.289504058859,18031.078486112398
1567044341.746,-18070.403679412564,-7194.807946699351,18030.62518096088
1567044341.996,-18070.66243148892,-7195.3263726898,18030.171851729916
1567044342.246,-18070.921184344537,-7195.844782029701,18029.71849842013
1567044342.496,-18071.179937978573,-7196.3631747184845,18029.265121032175
1567044342.746,-18071.438692390187,-7196.881550755577,18028.811719566656
1567044342.996,-18071.697447578525,-7197.39991014047,18028.35829402422
1567044343.246,-18071.956203542766,-7197.91825287266,18027.90484440547
1567044343.496,-18072.21496028206,-7198.43657895158,18027.451370711053
1567044343.746,-18072.473717795547,-7198.954888376647,18026.997872941618
1567044343.996,-18072.73247608241,-7199.473181147434,18026.54435109775
1567044344.246,-18072.991235141795,-7199.9914572632115,18026.090805180123
1567044344.496,-18073.249994972844,-7200.509716723667,18025.637235189337
1567044344.746,-18073.50875557471,-7201.02795952815,18025.18364112603
1567044344.996,-18073.767516946595,-7201.546185676081,18024.730022990836
1567044345.246,-18074.026279087604,-7202.064395166992,18024.27638078436
1567044345.496,-18074.28504199694,-7202.582588000299,18023.82271450726
1567044345.746,-18074.543805673708,-7203.100764175528,18023.369024160158
1567044345.996,-18074.80257011712,-7203.618923692065,18022.915309743694
1567044346.246,-18075.061335326296,-7204.137066549418,18022.46157125847
1567044346.496,-18075.32010130041,-7204.655192747028,18022.007808705137
1567044346.746,-18075.5788680386,-7205.173302284384,18021.554022084318
1567044346.996,-18075.837635540032,-7205.691395160939,18021.10021139663
1567044347.246,-18076.096403803866,-7206.209471376111,18020.646376642726
1567044347.496,-18076.355172829266,-7206.727530929398,18020.192517823234
1567044347.746,-18076.613942615357,-7207.245573820321,18019.738634938767
1567044347.996,-18076.87271316134,-7207.763600048238,18019.284727989958
1567044348.246,-18077.131484466358,-7208.28160961263,18018.830796977432
1567044348.496,-18077.390256529536,-7208.799602513012,18018.37684190185
1567044348.746,-18077.649029350076,-7209.317578748814,18017.922862763808
1567044348.996,-18077.907802927082,-7209.835538319538,18017.468859563938
1567044349.246,-18078.16657725976,-7210.3534812246,18017.014832302884
1567044349.496,-18078.425352347243,-7210.871407463477,18016.56078098128
1567044349.746,-18078.68412818869,-7211.389317035559,18016.10670559974
1567044349.996,-18078.94290478328,-7211.907209940444,18015.652606158903
1567044350.246,-18079.201682130126,-7212.425086177518,18015.198482659398
1567044350.496,-18079.460460228423,-7212.942945746239,18014.744335101856
1567044350.746,-18079.719239077276,-7213.460788646145,18014.290163486898
1567044350.996,-18079.978018675898,-7213.978614876563,18013.835967815172
1567044351.246,-18080.236799023438,-7214.496424437035,18013.38174808729
1567044351.496,-18080.495580119037,-7215.014217327069,18012.9275043039
1567044351.746,-18080.754361961837,-7215.5319935460575,18012.473236465605
1567044351.996,-18081.013144551027,-7216.049753093495,18012.018944573058
1567044352.246,-18081.271927885722,-7216.567495968819,18011.564628626875
1567044352.496,-18081.53071196512,-7217.085222171532,18011.110288627708
1567044352.746,-18081.78949678834,-7217.602931701109,18010.655924576175
1567044352.996,-18082.048282354575,-7218.120624556912,18010.201536472894
1567044353.246,-18082.307068662954,-7218.638300738472,18009.747124318514
1567044353.496,-18082.56585571265,-7219.155960245269,18009.29268811365
1567044353.746,-18082.824643502834,-7219.673603076735,18008.838227858938
1567044353.996,-18083.08343203261,-7220.191229232376,18008.383743555023
