Time,PosX,PosY,PosZ
1567044447.496,19601.682040382948,9027.131064569268,15541.396375138658
1567044447.746,19601.90894666504,9027.578927981183,15540.864081274942
1567044447.996,19602.13584982924,9028.026774163722,15540.331766824418
1567044448.246,19602.36274987475,9028.4746031166,15539.799431787722
1567044448.496,19602.589646800654,9028.922414839311,15539.267076165637
1567044448.746,19602.81654060621,9029.370209331777,15538.73469995889
1567044448.996,19603.04343129057,9029.817986593545,15538.202303168197
1567044449.246,19603.270318852883,9030.265746624267,15537.669885794321
1567044449.496,19603.49720329234,9030.713489423732,15537.137447837924
1567044449.746,19603.72408460808,9031.16121499148,15536.604989299803
1567044449.996,19603.95096279927,9031.608923327316,15536.072510180578
1567044450.246,19604.177837865194,9032.056614430934,15535.540010481043
1567044450.496,19604.404709804825,9032.504288301905,15535.007490201906
1567044450.746,19604.63157861751,9032.951944939981,15534.474949343938
1567044450.996,19604.858444302336,9033.399584344785,15533.94238790776
1567044451.246,19605.08530685849,9033.84720651609,15533.40980589416
1567044451.496,19605.312166285148,9034.294811453543,15532.877203303879
1567044451.746,19605.539022581426,9034.74239915673,15532.344580137673
1567044451.996,19605.7658757466,9035.189969625419,15531.811936396147
1567044452.246,19605.99272577973,9035.637522859295,15531.27927208013
1567044452.496,19606.21957268009,9036.085058858072,15530.746587190268
1567044452.746,19606.44641644676,9036.532577621387,15530.213881727379
1567044452.996,19606.67325707896,9036.980079148838,15529.681155692093
1567044453.246,19606.90009457586,9037.427563440244,15529.148409085174
1567044453.496,19607.126928936614,9037.875030495248,15528.61564190739
1567044453.746,19607.353760160382,9038.322480313469,15528.082854159424
1567044453.996,19607.580588246383,9038.769912894619,15527.550045841972
1567044454.246,19607.80741319369,9039.217328238476,15527.017216955786
1567044454.496,19608.0342350016,9039.664726344563,15526.484367501607
1567044454.746,19608.261053669168,9040.112107212663,15525.951497480164
1567044454.996,19608.48786919571,9040.559470842447,15525.41860689209
1567044455.246,19608.714681580183,9041.006817233581,15524.88569573825
1567044455.496,19608.941490821977,9041.454146385702,15524.352764019273
1567044455.746,19609.168296920066,9041.901458298547,15523.819811735984
1567044455.996,19609.395099873782,9042.348752971815,15523.286838888975
1567044456.246,19609.621899682228,9042.796030405174,15522.753845479021
1567044456.496,19609.848696344507,9043.243290598268,15522.220831506927
1567044456.746,19610.07548985994,9043.69053355082,15521.687796973247
1567044456.996,19610.30228022759,9044.137759262456,15521.154741878876
1567044457.246,19610.529067446634,9044.584967732932,15520.62166622445
1567044457.496,19610.755851516282,9045.032158961913,15520.088570010716
1567044457.746,19610.982632435658,9045.479332948984,15519.555453238416
1567044457.996,19611.209410204,9045.926489693971,15519.022315908236
1567044458.246,19611.436184820377,9046.373629196474,15518.489158020966
1567044458.496,19611.66295628408,9046.820751456224,15517.955979577238
1567044458.746,19611.889724594177,9047.267856472841,15517.422780577814
1567044458.996,19612.116489749864,9047.714944246094,15516.889561023461
1567044459.246,19612.343251750375,9048.162014775546,15516.35632091485
1567044459.496,19612.570010594703,9048.609068060916,15515.823060252804
1567044459.746,19612.796766282318,9049.056104102034,15515.28977903787
1567044459.996,19613.02351881208,9049.503122898346,15514.756477270941
1567044460.246,19613.250268183358,9049.950124449715,15514.22315495267
1567044460.496,19613.47701439523,9050.397108755758,15513.689812083803
1567044460.746,19613.70375744694,9050.844075816116,15513.15644866505
1567044460.996,19613.9304973376,9051.291025630606,15512.623064697083
1567044461.246,19614.15723406634,9051.737958198755,15512.08966018076
1567044461.496,19614.383967632486,9052.184873520328,15511.55623511665
1567044461.746,19614.610698034994,9052.63177159502,15511.02278950564
1567044461.996,19614.83742527319,9053.078652422388,15510.489323348364
1567044462.246,19615.06414934618,9053.52551600233,15509.955836645517
1567044462.496,19615.290870253226,9053.972362334323,15509.422329397908
1567044462.746,19615.517587993338,9054.419191418201,15508.888801606201
1567044462.996,19615.74430256579,9054.866003253523,15508.355253271136
1567044463.246,19615.971013969818,9055.312797840172,15507.821684393399
1567044463.496,19616.197722204448,9055.75957517757,15507.288094973823
1567044463.746,19616.424427268885,9056.206335265582,15506.754485013069
1567044463.996,19616.651129162357,9056.653078103773,15506.220854511821
1567044464.246,19616.877827883985,9057.099803691912,15505.687203470901
1567044464.496,19617.104523432972,9057.546512029669,15505.153531890908
1567044464.746,19617.331215808437,9057.993203116683,15504.619839772695
1567044464.996,19617.5579050096,9058.439876952747,15504.086127116921
1567044465.246,19617.784591035605,9058.886533537414,15503.55239392432
1567044465.496,19618.011273885702,9059.33317287045,15503.018640195636
1567044465.746,19618.237953558943,9059.779794951515,15502.484865931585
1567044465.996,19618.46463005455,9060.226399780287,15501.95107113286
1567044466.246,19618.691303371652,9060.672987356345,15501.417255800254
1567044466.496,19618.91797350953,9061.119557679616,15500.883419934407
1567044466.746,19619.144640467202,9061.566110749547,15500.349563536145
1567044466.996,19619.371304244003,9062.012646566029,15499.815686606069
1567044467.246,19619.59796483893,9062.459165128537,15499.28178914503
1567044467.496,19619.824622251257,9062.905666436967,15498.747871153708
1567044467.746,19620.051276480168,9063.352150490795,15498.213932632812
1567044467.996,19620.27792752477,9063.798617289867,15497.679973583055
1567044468.246,19620.504575384264,9064.24506683374,15497.145994005206
1567044468.496,19620.73122005782,9064.691499122237,15496.611993899958
1567044468.746,19620.957861544666,9065.13791415494,15496.077973268068
1567044468.996,19621.184499843825,9065.584311931554,15495.543932110264
1567044469.246,19621.411134954567,9066.030692451743,15495.00987042722
1567044469.496,19621.637766876098,9066.47705571528,15494.47578821968
1567044469.746,19621.864395607518,9066.923401721731,15493.941685488411
1567044469.996,19622.09102114799,9067.36973047087,15493.407562234128
1567044470.246,19622.31764349671,9067.816041962345,15492.873418457493
1567044470.496,19622.544262652893,9068.262336195861,15492.339254159306
1567044470.746,19622.770878615607,9068.70861317098,15491.805069340307
1567044470.996,19622.997491384103,9069.154872887604,15491.270864001162
1567044471.246,19623.224100957523,9069.601115345282,15490.736638142576
1567044471.496,19623.45070733506,9070.047340543762,15490.202391765359
1567044471.746,19623.677310515865,9070.493548482613,15489.66812487019
1567044471.996,19623.903910499095,9070.939739161662,15489.133837457797
1567044472.246,19624.130507283946,9071.385912580474,15488.599529528921
1567044472.496,19624.357100869533,9071.832068738855,15488.065201084322
1567044472.746,19624.58369125509,9072.278207636416,15487.530852124617
1567044472.996,19624.810278439745,9072.724329272824,15486.996482650615
1567044473.246,19625.036862422734,9073.170433647774,15486.46209266306
1567044473.496,19625.263443203126,9073.616520760945,15485.927682162639
1567044473.746,19625.490020780166,9074.062590612055,15485.393251150024
1567044473.996,19625.716595153008,9074.508643200868,15484.858799626043
1567044474.246,19625.943166320787,9074.954678526949,15484.324327591428
1567044474.496,19626.169734282717,9075.400696589953,15483.789835046779
1567044474.746,19626.39629903793,9075.846697389705,15483.255321993005
1567044474.996,19626.622860585652,9076.29268092582,15482.72078843059
1567044475.246,19626.849418924965,9076.738647197839,15482.18623436054
1567044475.496,19627.075974055108,9077.18459620572,15481.65165978338
1567044475.746,19627.302525975218,9077.630527948902,15481.117064699945
1567044475.996,19627.529074684506,9078.07644242733,15480.582449110922
1567044476.246,19627.75562018212,9078.522339640484,15480.047813016989
1567044476.496,19627.982162467193,9078.968219588052,15479.51315641895
1567044476.746,19628.208701538973,9079.414082269825,15478.97847931742
1567044476.996,19628.435237396523,9079.859927685415,15478.443781713288
1567044477.246,19628.661770039085,9080.305755834586,15477.90906360721
1567044477.496,19628.888299465874,9080.751566716983,15477.374324999866
1567044477.746,19629.11482567594,9081.197360332175,15476.839565892045
1567044477.996,19629.341348668473,9081.643136680024,15476.304786284429
1567044478.246,19629.56786844276,9082.088895760127,15475.769986177771
1567044478.496,19629.79438499785,9082.534637572215,15475.235165572787
1567044478.746,19630.020898332976,9082.980362115937,15474.700324470192
1567044478.996,19630.24740844727,9083.426069390982,15474.165462870753
1567044479.246,19630.47391533997,9083.871759397029,15473.630580775154
1567044479.496,19630.700419010118,9084.317432133856,15473.095678184172
1567044479.746,19630.92691945697,9084.763087600953,15472.560755098493
1567044479.996,19631.153416679743,9085.208725798224,15472.025811518875
1567044480.246,19631.379910677504,9085.65434672527,15471.490847445992
1567044480.496,19631.60640144947,9086.099950381711,15470.955862880583
1567044480.746,19631.83288899477,9086.545536767218,15470.42085782349
1567044480.996,19632.059373312637,9086.99110588168,15469.88583227526
1567044481.246,19632.285854402264,9087.436657724607,15469.35078623673
1567044481.496,19632.512332262748,9087.882192295758,15468.815719708631
1567044481.746,19632.738806893252,9088.32770959477,15468.280632691647
1567044481.996,19632.965278292973,9088.773209621322,15467.74552518653
